region,population,parent,Quality,Altcountryname,ISO3166_NUTS,extraRegion
New Jersey,8882190,US,,,,
New Mexico,2096829,US,,,,
New York,19453561,US,,,,
North Carolina,10488084,US,,,,
North Dakota,762062,US,,,,
Northern Mariana Islands,55194,US,,,,
Ohio,11689100,US,,,,
Oklahoma,3956971,US,,,,
Oregon,4217737,US,,,,
Pennsylvania,12801989,US,,,,
Puerto Rico,3193694,US,,,,
Rhode Island,1059361,US,,,,
South Carolina,5148714,US,,,,
South Dakota,884659,US,,,,
Tennessee,6833174,US,,,,
Texas,28995881,US,,,,
U.S. Virgin Islands,104914,US,,,,
Utah,3205958,US,,,,
Vermont,623989,US,,,,
Virginia,8535519,US,,,,
Washington,7614893,US,,,,
West Virginia,1792147,US,,,,
Wisconsin,5822434,US,,,,
Wyoming,578759,US,,,,
Sevastopol,428753,,,,UA_40,
Republic of Crimea,1957801,,,,UA_43,
Bács-Kiskun,503825,Hungary,,,HU331,
Baranya,360704,Hungary,,,HU231,
Békés,334264,Hungary,,,HU332,
Borsod-Abaúj-Zemplén,642447,Hungary,,,HU311,
Budapest,1752286,Hungary,,,HU11,
Csongrád,399012,Hungary,,,HU333,
Fejér,417712,Hungary,,,HU211,
Győr-Moson-Sopron,467144,Hungary,,,HU221,
Hajdú-Bihar,527989,Hungary,,,HU321,
Heves,294609,Hungary,,,HU312,
Jász-Nagykun-Szolnok,370007,Hungary,,,HU322,
Komárom-Esztergom,299207,Hungary,,,HU212,
Nógrád,189304,Hungary,,,HU313,
Pest,1278874,Hungary,,,HU12,
Somogy,301429,Hungary,,,HU232,
Szabolcs-Szatmár-Bereg,552964,Hungary,,,HU323,
Tolna,217463,Hungary,,,HU233,
Vas,253551,Hungary,,,HU222,
Veszprém,341317,Hungary,,,HU213,
Zala,268648,Hungary,,,HU223,
Bjelovarsko-bilogorska,107186,Croatia,,,HR047,
Brodsko-Posavska,138804,Croatia,,,HR04A,
Dubrovačko-neretvanska,121425,Croatia,,,HR037,
Grad Zagreb,806341,Croatia,,,HR041,
Istarska,209020,Croatia,,,HR036,
Karlovačka,116166,Croatia,,,HR04D,
Koprivničko-križevačka,107076,Croatia,,,HR045,
Krapinsko-zagorska županija,124786,Croatia,,,HR043,
Ličko-senjska,44834,Croatia,,,HR032,
Međimurska,109537,Croatia,,,HR046,
Osječko-baranjska,275056,Croatia,,,HR04B,
Požeško-slavonska,67028,Croatia,,,HR049,
Primorsko-Goranska,283405,Croatia,,,HR031,
Šibensko-kninska,99633,Croatia,,,HR034,
Sisačko-moslavačka,147216,Croatia,,,HR04E,
Splitsko-Dalmatinska,447723,Croatia,,,HR035,
Varaždinska,166658,Croatia,,,HR044,
Virovitičko-podravska,74521,Croatia,,,HR048,
Vukovarsko-srijemska,152494,Croatia,,,HR04C,
Zadarska,168031,Croatia,,,HR033,
Zagrebačka,309306,Croatia,,,HR042,
Blagoevgrad,302694,Bulgaria,,,BG413,
Burgas,409265,Bulgaria,,,BG341,
Dobrich,171809,Bulgaria,,,BG332,
Gabrovo,106598,Bulgaria,,,BG322,
Haskovo,225317,Bulgaria,,,BG422,
Kardzhali,158204,Bulgaria,,,BG425,
Kyustendil,116915,Bulgaria,,,BG415,
Lovech,122546,Bulgaria,,,BG315,
Montana,127001,Bulgaria,,,BG312,
Pazardzhik,252776,Bulgaria,,,BG423,
Pernik,119190,Bulgaria,,,BG414,
Pleven,236305,Bulgaria,,,BG314,
Plovdiv,666801,Bulgaria,,,BG421,
Razgrad,110789,Bulgaria,,,BG324,
Ruse,215477,Bulgaria,,,BG323,
Shumen,172262,Bulgaria,,,BG333,
Silistra,108018,Bulgaria,,,BG325,
Sliven,184119,Bulgaria,,,BG342,
Smolyan,103532,Bulgaria,,,BG424,
Sofia City,1328790,Bulgaria,,,BG411,
Sofia Region,226671,Bulgaria,,,BG412,
Stara Zagora,313396,Bulgaria,,,BG344,
Targovishte,110914,Bulgaria,,,BG334,
Varna,469885,Bulgaria,,,BG331,
Veliko Tarnovo,232568,Bulgaria,,,BG321,
Vidin,82835,Bulgaria,,,BG311,
Vratsa,159470,Bulgaria,,,BG313,
Yambol,117335,Bulgaria,,,BG343,
Berat,19503,Albania,,,AL031,
Dibër,61619,Albania,,,AL011,
Durrës,175110,Albania,,,AL012,
Elbasan,141714,Albania,,,AL021,
Fier,120655,Albania,,,AL032,
Gjirokastër,28673,Albania,,,AL033,
Korçë,75994,Albania,,,AL034,
Kukës,47985,Albania,,,AL013,
Lezhë,65633,Albania,,,AL014,
Shkodër,135612,Albania,,,AL015,
Tiranë,557422,Albania,,,AL022,
Vlorë,104827,Albania,,,AL035,
Alba,323778,Romania,,,RO121,
Arad,415732,Romania,,,RO421,
Argeș,57492,Romania,,,RO311,
Bacău,580912,Romania,,,RO211,
Bihor,559992,Romania,,,RO111,
Bistrița-Năsăud,277724,Romania,,,RO112,
Botoșani,376304,Romania,,,RO212,
Brăila,285851,Romania,,,RO221,
Brașov,553278,Romania,,,RO122,
București,1832883,Romania,,,RO321,
Buzău,40906,Romania,,,RO222,
Călărași,280099,Romania,,,RO312,
Caraș-Severin,26947,Romania,,,RO422,
Cluj,709445,Romania,,,RO113,
Costanza,67191,Romania,,,RO223,
Covasna,201437,Romania,,,RO123,
Dâmbovița,486964,Romania,,,RO313,
Dolj,621046,Romania,,,RO411,
Galați,49965,Romania,,,RO224,
Giurgiu,263194,Romania,,,RO314,
Gorj,311918,Romania,,,RO412,
Harghita,30145,Romania,,,RO124,
Hunedoara,379987,Romania,,,RO423,
Iași,791665,Romania,,,RO213,
Ialomița,25413,Romania,,,RO315,
Ilfov,486644,Romania,,,RO322,
Maramureș,458471,Romania,,,RO114,
Mehedinți,238867,Romania,,,RO413,
Mureș,533064,Romania,,,RO125,
Neamț,438221,Romania,,,RO214,
Olt,389603,Romania,,,RO414,
Prahova,712254,Romania,,,RO316,
Sălaj,209893,Romania,,,RO116,
Satu Mare,331109,Romania,,,RO115,
Sibiu,401168,Romania,,,RO126,
Suceava,622533,Romania,,,RO215,
Teleorman,328683,Romania,,,RO317,
Timiș,705745,Romania,,,RO424,
Tulcea,192037,Romania,,,RO225,
Vâlcea,348318,Romania,,,RO415,
Vaslui,371156,Romania,,,RO216,
Vrancea,317419,Romania,,,RO226,
Banská Bystrica,645276,Slovakia,,,SK032,
Bratislava,669592,Slovakia,,,SK010,
Košice,801460,Slovakia,,,SK042,
Nitra,674306,Slovakia,,,SK023,
Prešov,826244,Slovakia,,,SK041,
Trencín,584569,Slovakia,,,SK022,
Trnava,564917,Slovakia,,,SK021,
Zilina,691509,Slovakia,,,SK031,
