province_code, title
PV20,Groningen,
PV21,Friesland
PV22,Drenthe
PV23,Overijssel
PV24,Flevoland
PV25,Gelderland
PV26,Utrecht
PV27,Noord-Holland
PV28,Zuid-Holland
PV29,Zeeland
PV30,Noord-Brabant
PV31,Limburg
